Gene,ImageFeature,Correlation,Pvalue
SLC2A3,original_shape_VoxelVolume,-0.045112782,0.850206190208487
ANGPTL7,original_shape_VoxelVolume,-0.318045904,0.171763977737433
RGS4,original_shape_VoxelVolume,-0.183458647,0.438794886569103
SNCA,original_shape_VoxelVolume,-0.02556391,0.914804168314432
GALNT14,original_shape_VoxelVolume,-0.536842105,0.0146632944255229
CDO1,original_shape_VoxelVolume,-0.308270677,0.186055560778102
PTGS2,original_shape_VoxelVolume,-0.189473684,0.423665255926863
FABP4,original_shape_VoxelVolume,-0.368421053,0.109964366116377
PLIN4,original_shape_VoxelVolume,0.0571428571428571,0.810880046156832
GRIA3,original_shape_VoxelVolume,0.123308270676692,0.604508830626885
TP63,original_shape_VoxelVolume,-0.412030075,0.0710472186641245
ADIPOQ,original_shape_VoxelVolume,-0.152638756,0.52058138650982
BLOC1S5-TXNDC5,original_shape_VoxelVolume,0.2,0.397872979351961
SLC2A3,original_shape_MeshVolume,-0.045112782,0.850206190208487
ANGPTL7,original_shape_MeshVolume,-0.318045904,0.171763977737433
RGS4,original_shape_MeshVolume,-0.183458647,0.438794886569103
SNCA,original_shape_MeshVolume,-0.02556391,0.914804168314432
GALNT14,original_shape_MeshVolume,-0.536842105,0.0146632944255229
CDO1,original_shape_MeshVolume,-0.308270677,0.186055560778102
PTGS2,original_shape_MeshVolume,-0.189473684,0.423665255926863
FABP4,original_shape_MeshVolume,-0.368421053,0.109964366116377
PLIN4,original_shape_MeshVolume,0.0571428571428571,0.810880046156832
GRIA3,original_shape_MeshVolume,0.123308270676692,0.604508830626885
TP63,original_shape_MeshVolume,-0.412030075,0.0710472186641245
ADIPOQ,original_shape_MeshVolume,-0.152638756,0.52058138650982
BLOC1S5-TXNDC5,original_shape_MeshVolume,0.2,0.397872979351961
SLC2A3,original_shape_SurfaceArea,0.0556390977443609,0.815773994825972
ANGPTL7,original_shape_SurfaceArea,-0.250441944,0.28688348869814
RGS4,original_shape_SurfaceArea,-0.120300752,0.613417664530782
SNCA,original_shape_SurfaceArea,0.0466165413533835,0.845269805289438
GALNT14,original_shape_SurfaceArea,-0.485714286,0.0299207825255925
CDO1,original_shape_SurfaceArea,-0.215037594,0.362573887024551
PTGS2,original_shape_SurfaceArea,-0.242105263,0.303755063011435
FABP4,original_shape_SurfaceArea,-0.234586466,0.31947646514967
PLIN4,original_shape_SurfaceArea,0.0601503759398496,0.801112555576091
GRIA3,original_shape_SurfaceArea,0.150375939849624,0.526854948252981
TP63,original_shape_SurfaceArea,-0.436090226,0.054584099673222
ADIPOQ,original_shape_SurfaceArea,-0.084352997,0.723654376723544
BLOC1S5-TXNDC5,original_shape_SurfaceArea,0.213533834586466,0.366020638339514
SLC2A3,original_shape_SurfaceVolumeRatio,0.16390977443609,0.489866943380774
ANGPTL7,original_shape_SurfaceVolumeRatio,0.184374437022139,0.436473279022007
RGS4,original_shape_SurfaceVolumeRatio,0.239097744360902,0.309986264406045
SNCA,original_shape_SurfaceVolumeRatio,0.0932330827067669,0.695828864237075
GALNT14,original_shape_SurfaceVolumeRatio,0.389473684210526,0.0896190476983714
CDO1,original_shape_SurfaceVolumeRatio,0.267669172932331,0.253891542658211
PTGS2,original_shape_SurfaceVolumeRatio,0.160902255639098,0.497974414424794
FABP4,original_shape_SurfaceVolumeRatio,0.348872180451128,0.131663171556952
PLIN4,original_shape_SurfaceVolumeRatio,-0.09924812,0.677188844321822
GRIA3,original_shape_SurfaceVolumeRatio,-0.157894737,0.506146583520163
TP63,original_shape_SurfaceVolumeRatio,0.245112781954887,0.297600500388662
ADIPOQ,original_shape_SurfaceVolumeRatio,0.0642689498795202,0.787782936039119
BLOC1S5-TXNDC5,original_shape_SurfaceVolumeRatio,-0.239097744,0.309986264406045
SLC2A3,original_shape_Compactness1,-0.315789474,0.174994135415635
ANGPTL7,original_shape_Compactness1,0.0153645364185115,0.948738223539707
RGS4,original_shape_Compactness1,-0.213533835,0.366020638339514
SNCA,original_shape_Compactness1,-0.30075188,0.197579663172555
GALNT14,original_shape_Compactness1,-0.010526316,0.964868586819499
CDO1,original_shape_Compactness1,-0.15037594,0.526854948252981
PTGS2,original_shape_Compactness1,0.0541353383458647,0.820674519697345
FABP4,original_shape_Compactness1,-0.162406015,0.493912544363032
PLIN4,original_shape_Compactness1,0.0345864661654135,0.884901508830583
GRIA3,original_shape_Compactness1,-0.070676692,0.767158220645091
TP63,original_shape_Compactness1,0.192481203007519,0.416206473419799
ADIPOQ,original_shape_Compactness1,0.0329378368132541,0.890355408853985
BLOC1S5-TXNDC5,original_shape_Compactness1,0.18796992481203,0.427421258022664
SLC2A3,original_shape_Compactness2,-0.315789474,0.174994135415635
ANGPTL7,original_shape_Compactness2,0.0153645364185115,0.948738223539707
RGS4,original_shape_Compactness2,-0.213533835,0.366020638339514
SNCA,original_shape_Compactness2,-0.30075188,0.197579663172555
GALNT14,original_shape_Compactness2,-0.010526316,0.964868586819499
CDO1,original_shape_Compactness2,-0.15037594,0.526854948252981
PTGS2,original_shape_Compactness2,0.0541353383458647,0.820674519697345
FABP4,original_shape_Compactness2,-0.162406015,0.493912544363032
PLIN4,original_shape_Compactness2,0.0345864661654135,0.884901508830583
